show_id,id_type,title,id_director,date_added,release_year,id_rating,id_duration,description
s42,1,Jaws,31,2021-09-16,1975,4,26,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
s43,1,Jaws 2,32,2021-09-16,1978,4,27,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
s44,1,Jaws 3,33,2021-09-16,1983,4,28,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
s45,1,Jaws: The Revenge,34,2021-09-16,1987,2,5,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
s46,1,My Heroes Were Cowboys,35,2021-09-16,2021,4,29,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
s47,1,Safe House,36,2021-09-16,2012,9,30,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
s48,2,The Smart Money Woman,37,2021-09-16,2020,3,4,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
s49,1,Training Day,38,2021-09-16,2001,9,31,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
s50,2,Castle and Castle,1,2021-09-15,2021,3,3,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
s51,2,Dharmakshetra,1,2021-09-15,2014,6,4,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
s52,1,InuYasha the Movie 2: The Castle Beyond the Looking Glass,39,2021-09-15,2002,5,32,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53,1,InuYasha the Movie 3: Swords of an Honorable Ruler,39,2021-09-15,2003,5,32,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s54,1,InuYasha the Movie 4: Fire on the Mystic Island,39,2021-09-15,2004,6,33,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
s55,1,InuYasha the Movie: Affections Touching Across Time,39,2021-09-15,2001,6,34,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
s56,2,Nailed It,1,2021-09-15,2021,6,35,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
s57,1,Naruto Shippuden the Movie: Blood Prison,40,2021-09-15,2011,5,36,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
s58,1,Naruto Shippûden the Movie: Bonds,41,2021-09-15,2008,6,37,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
s59,1,Naruto Shippûden the Movie: The Will of Fire,40,2021-09-15,2009,6,25,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s60,1,Naruto Shippuden: The Movie,41,2021-09-15,2007,6,38,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s61,1,Naruto Shippuden: The Movie: The Lost Tower,40,2021-09-15,2010,5,39,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s62,1,Naruto the Movie 2: Legend of the Stone of Gelel,42,2021-09-15,2005,6,19,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
s63,1,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,43,2021-09-15,2006,6,38,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
s64,1,Naruto the Movie: Ninja Clash in the Land of Snow,44,2021-09-15,2004,6,40,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s65,1,Nightbooks,45,2021-09-15,2021,6,18,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
s66,2,Numberblocks,1,2021-09-15,2021,7,35,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
s67,2,Raja Rasoi Aur Anya Kahaniyan,1,2021-09-15,2014,10,4,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
s68,2,Saved by the Bell,1,2021-09-15,1994,6,7,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
s69,1,Schumacher,46,2021-09-15,2021,5,41,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
s70,2,Stories by Rabindranath Tagore,1,2021-09-15,2015,6,4,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
s71,2,Too Hot To Handle: Latino,1,2021-09-15,2021,3,4,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
s72,1,A StoryBots Space Adventure,49,2021-09-14,2021,7,42,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
s73,2,Jack Whitehall: Travels with My Father,1,2021-09-14,2021,3,13,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
s74,1,King of Boys,50,2021-09-14,2018,3,43,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
s75,2,The World's Most Amazing Vacation Rentals,1,2021-09-14,2021,6,3,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
s76,1,You vs. Wild: Out Cold,51,2021-09-14,2021,10,20,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
s77,2,Yowamushi Pedal,1,2021-09-14,2013,5,4,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
s78,1,Little Singham - Black Shadow,52,2021-09-11,2021,8,44,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
s79,1,Tughlaq Durbar,53,2021-09-11,2020,5,45,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s80,1,Tughlaq Durbar (Telugu),53,2021-09-11,2021,5,45,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s81,1,Firedrake the Silver Dragon,54,2021-09-10,2021,8,37,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
s82,1,Kate,55,2021-09-10,2021,9,20,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s83,2,Lucifer,1,2021-09-10,2021,5,35,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
s84,2,Metal Shop Masters,1,2021-09-10,2021,3,4,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
s85,1,Omo Ghetto: the Saga,56,2021-09-10,2020,3,17,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
s86,2,Pokémon Master Journeys: The Series,1,2021-09-10,2021,8,4,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
s87,1,Prey,58,2021-09-10,2021,3,46,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
s88,2,Titipo Titipo,1,2021-09-10,2019,7,3,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
s89,1,Blood Brothers: Malcolm X & Muhammad Ali,59,2021-09-09,2021,2,25,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
s90,2,Mighty Raju,1,2021-09-09,2017,8,10,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
s91,1,Paradise Hills,60,2021-09-09,2019,3,38,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
s92,1,The Women and the Murderer,61,2021-09-09,2021,5,47,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
s93,2,Into the Night,1,2021-09-08,2021,3,3,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
s94,1,JJ+E,63,2021-09-08,2021,3,5,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
s95,1,Show Dogs,64,2021-09-08,2018,4,2,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
s96,2,The Circle,1,2021-09-08,2021,3,22,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
s97,1,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,65,2021-09-07,2018,3,19,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
s98,2,Kid Cosmic,1,2021-09-07,2021,8,3,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
s99,2,Octonauts: Above & Beyond,1,2021-09-07,2021,7,4,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
s100,2,On the Verge,1,2021-09-07,2021,3,4,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
s101,2,Tobot Galaxy Detectives,1,2021-09-07,2019,8,3,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
s102,1,Untold: Breaking Point,66,2021-09-07,2021,3,48,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
s103,2,Countdown: Inspiration4 Mission to Space,68,2021-09-06,2021,5,4,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
s104,1,Shadow Parties,69,2021-09-06,2020,3,49,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
s105,2,Tayo the Little Bus,1,2021-09-06,2016,7,3,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
s106,1,Angamaly Diaries,70,2021-09-05,2017,5,50,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s107,2,Bunk'd,1,2021-09-05,2021,10,13,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
s108,1,A Champion Heart,71,2021-09-04,2018,11,2,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s109,2,Dive Club,1,2021-09-03,2021,10,4,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
s110,2,La casa de papel,1,2021-09-03,2021,3,13,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
s111,2,Money Heist: From Tokyo to Berlin,72,2021-09-03,2021,3,4,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
s112,2,Sharkdog,1,2021-09-03,2021,7,4,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
s113,1,Worth,74,2021-09-03,2021,2,51,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
s114,1,Afterlife of the Party,75,2021-09-02,2021,6,23,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
s115,1,Anjaam,76,2021-09-02,1994,5,52,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116,1,Bright Star,77,2021-09-02,2009,4,51,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
s117,1,Dhanak,78,2021-09-02,2015,6,53,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
s118,1,Final Account,79,2021-09-02,2021,2,12,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
s119,1,Gurgaon,80,2021-09-02,2017,5,20,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s120,1,Here and There,81,2021-09-02,2020,3,32,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
s121,2,Heroes of Goo Jit Zu,1,2021-09-02,2021,8,4,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
s122,2,Hotel Del Luna,1,2021-09-02,2019,5,4,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
s123,1,In the Cut,77,2021-09-02,2003,9,54,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s124,2,Luv Kushh,1,2021-09-02,2012,8,4,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
s125,2,Pororo - The Little Penguin,1,2021-09-02,2013,8,22,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
s126,2,Q-Force,1,2021-09-02,2021,3,4,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
s127,1,Shikara,82,2021-09-02,2020,5,30,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128,1,A Cinderella Story,83,2021-09-01,2004,4,38,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s129,1,Agatha Christie's Crooked House,84,2021-09-01,2017,2,30,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
s130,1,An Unfinished Life,85,2021-09-01,2005,2,55,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
s131,1,Barbie Big City Big Dreams,86,2021-09-01,2021,7,56,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
s132,1,Blade Runner: The Final Cut,87,2021-09-01,1982,9,49,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s133,2,Brave Animated Series,1,2021-09-01,2021,3,4,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
s134,1,Chappie,88,2021-09-01,2015,9,57,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135,1,Clear and Present Danger,89,2021-09-01,1994,2,58,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
s136,1,Cliffhanger,90,2021-09-01,1993,9,41,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137,1,Cold Mountain,91,2021-09-01,2003,9,59,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138,1,Crocodile Dundee in Los Angeles,92,2021-09-01,2001,4,38,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
s139,1,Dear John,85,2021-09-01,2010,2,55,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
s140,1,Do the Right Thing,93,2021-09-01,1989,9,60,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141,1,"El patrón, radiografía de un crimen",94,2021-09-01,2014,3,34,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
s142,1,Extraction,95,2021-09-01,2015,9,61,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143,1,Freedom Writers,96,2021-09-01,2007,2,26,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
s144,1,Green Lantern,97,2021-09-01,2011,2,53,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
s145,1,House Party,98,2021-09-01,1990,9,8,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
s146,1,House Party 2,99,2021-09-01,1991,9,12,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147,1,House Party 3,101,2021-09-01,1994,9,12,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
s148,2,How to Be a Cowboy,1,2021-09-01,2021,6,4,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
s149,2,HQ Barbers,102,2021-09-01,2020,5,4,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
s150,1,I Got the Hook Up,103,2021-09-01,1998,9,37,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151,1,In Too Deep,104,2021-09-01,1999,9,19,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152,1,Initial D,105,2021-09-01,2005,5,62,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
s153,1,Janoskians: Untold and Untrue,107,2021-09-01,2016,3,33,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
s154,2,Kid-E-Cats,1,2021-09-01,2016,7,3,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
s155,2,Kuroko's Basketball,1,2021-09-01,2015,3,22,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
s156,1,Labyrinth,108,2021-09-01,1986,4,63,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157,1,Letters to Juliet,109,2021-09-01,2010,4,24,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
s158,1,Level 16,110,2021-09-01,2018,5,36,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159,1,Love Don't Cost a Thing,111,2021-09-01,2003,2,63,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160,1,Love in a Puff,112,2021-09-01,2010,3,18,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s161,2,Major Dad,1,2021-09-01,1992,6,10,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
s162,1,Mars Attacks!,113,2021-09-01,1996,2,20,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
s163,1,Marshall,98,2021-09-01,2017,2,54,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
s164,1,My Boss's Daughter,114,2021-09-01,2003,9,64,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165,1,Mystery Men,115,2021-09-01,1999,2,57,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
s166,2,Oldsters,1,2021-09-01,2019,3,4,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
s167,1,Once Upon a Time in America,116,2021-09-01,1984,9,65,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
s168,1,Open Season 2,117,2021-09-01,2008,4,66,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169,1,Osmosis Jones,119,2021-09-01,2001,4,38,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
